# TBLASTN 2.2.25+
# Query: ABU92522.1 phosphopantothenoylcysteine-synthetase, partial [Eleutheria dichotoma]
# Database: /var/www/blast++/db/nucleotide/P.yesseoensis_genome.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 4 hits found
POU6	scaffold827	43.14	51	29	0	42	92	331508	331356	3e-05	51.2
POU6	scaffold10613	25.49	102	59	2	6	92	218208	217909	1e-04	49.3
POU6	scaffold716089	27.45	102	59	3	7	94	34051	33749	2e-04	48.5
POU6	scaffold617	40.00	40	18	1	54	87	103025	103144	0.083	39.7
POU6	scaffold10685	33.33	60	38	1	149	208	926125	926298	6.7	33.5
# TBLASTN 2.2.25+
# Query: Cnox-5
# Database: /var/www/blast++/db/nucleotide/P.yesseoensis_genome.fa
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 68 hits found
Cnox-5	scaffold2711.2	57.53	73	31	0	128	200	431016	430798	1e-17	92.0
Cnox-5	scaffold2711.2	67.24	58	19	0	144	201	143583	143410	3e-16	87.0
Cnox-5	scaffold2711.2	45.98	87	41	1	144	230	264339	264097	6e-16	86.3
Cnox-5	scaffold2711.2	71.93	57	16	0	142	198	881961	881791	8e-16	85.5
Cnox-5	scaffold2711.2	67.80	59	19	0	142	200	606599	606423	2e-15	84.0
Cnox-5	scaffold2711.2	59.46	74	26	2	142	215	728746	728537	2e-15	84.0
Cnox-5	scaffold2711.2	66.10	59	20	0	142	200	990178	990002	7e-14	79.3
Cnox-5	scaffold2711.2	63.16	57	21	0	142	198	1249222	1249052	4e-13	76.6
Cnox-5	scaffold2711.2	60.34	58	23	0	142	199	1099760	1099587	9e-12	72.4
Cnox-5	scaffold2711.2	46.97	66	35	0	140	205	1955230	1955427	6e-10	66.2
Cnox-5	scaffold2711.2	53.57	56	26	0	142	197	1443709	1443542	6e-07	56.2
Cnox-5	scaffold6683	55.74	61	27	0	139	199	1619372	1619554	1e-14	81.6
Cnox-5	scaffold6683	55.93	59	26	0	142	200	1655989	1655813	1e-12	74.7
Cnox-5	scaffold6683	58.18	55	23	0	144	198	1515712	1515876	3e-11	70.5
Cnox-5	scaffold6863	54.10	61	28	0	142	202	115729	115547	3e-12	73.6
Cnox-5	scaffold8437	35.14	148	77	3	109	245	127072	127491	3e-11	70.5
Cnox-5	scaffold4819	42.16	102	53	3	103	201	431167	430871	3e-11	70.5
Cnox-5	scaffold4819	47.54	61	32	0	142	202	870330	870148	6e-09	62.8
Cnox-5	scaffold4819	35.42	48	31	0	142	189	304387	304530	0.079	39.3
Cnox-5	scaffold4819	62.50	24	9	0	178	201	27556	27627	0.13	38.5
Cnox-5	scaffold10771	53.45	58	27	0	142	199	1267900	1267727	3e-10	67.0
Cnox-5	scaffold10771	38.57	70	39	2	169	238	1676668	1676471	0.006	43.1
Cnox-5	scaffold716229	46.88	64	34	0	142	205	179582	179773	7e-10	65.9
Cnox-5	scaffold8213	56.60	53	23	0	142	194	782238	782396	9e-10	65.5
Cnox-5	scaffold8213	49.06	53	27	0	142	194	650982	651140	3e-07	57.4
Cnox-5	scaffold716247	41.89	74	35	1	128	201	365044	365241	1e-09	65.1
Cnox-5	scaffold10841	57.41	54	23	0	144	197	120715	120554	1e-08	62.0
Cnox-5	scaffold8019	51.79	56	27	0	145	200	55985	55818	1e-08	62.0
Cnox-5	scaffold6169	37.04	108	54	3	142	236	1909854	1910174	1e-08	61.6
Cnox-5	scaffold9977	48.33	60	31	0	142	201	46718	46897	3e-08	60.8
Cnox-5	scaffold11129	49.06	53	27	0	146	198	246769	246927	4e-08	60.1
Cnox-5	scaffold10595	36.59	82	44	1	116	197	135030	135251	4e-07	57.0
Cnox-5	scaffold8819	37.84	74	39	1	113	186	69588	69388	2e-06	54.3
Cnox-5	scaffold1027	47.06	51	27	0	142	192	103428	103276	1e-05	52.0
Cnox-5	scaffold1027	47.06	51	27	0	142	192	208997	209149	7e-05	49.3
Cnox-5	hete_36170876	47.06	51	27	0	142	192	3520	3368	7e-05	49.3
Cnox-5	scaffold10103	47.06	51	27	0	142	192	26335	26183	7e-05	49.3
Cnox-5	scaffold9311	40.35	57	34	0	142	198	590200	590370	1e-04	48.5
Cnox-5	scaffold3011	60.47	43	17	0	142	184	464656	464528	2e-04	48.1
Cnox-5	scaffold3011	58.14	43	18	0	142	184	434508	434380	2e-04	47.8
Cnox-5	scaffold3011	35.85	53	34	0	174	226	462842	462684	0.16	38.1
Cnox-5	scaffold716323	48.78	41	21	0	144	184	619699	619821	3e-04	47.4
Cnox-5	scaffold716323	60.87	23	9	0	183	205	621632	621700	2.3	34.3
Cnox-5	hete_36150618	60.47	43	17	0	142	184	3746	3618	4e-04	46.6
Cnox-5	hete_36150618	35.85	53	34	0	174	226	1932	1774	0.16	38.1
Cnox-5	scaffold717	48.89	45	23	0	142	186	256751	256617	0.003	43.9
Cnox-5	scaffold717	54.17	24	11	0	185	208	256153	256082	0.76	35.8
Cnox-5	scaffold717	41.94	31	18	0	176	206	134202	134294	0.80	35.8
Cnox-5	scaffold2699	33.33	63	42	0	142	204	296589	296401	0.006	42.7
Cnox-5	scaffold8649	44.19	43	24	0	142	184	104324	104196	0.048	40.0
Cnox-5	scaffold8649	37.50	56	28	2	183	234	103218	103060	1.4	35.0
Cnox-5	scaffold7225	47.50	40	13	1	158	197	457580	457675	0.093	38.9
Cnox-5	scaffold7065	35.09	57	35	1	132	188	260835	260999	0.11	38.5
Cnox-5	scaffold4121	44.44	45	25	0	147	191	215130	215264	0.13	38.5
Cnox-5	scaffold2137	30.65	62	43	0	146	207	647494	647309	0.51	36.6
Cnox-5	scaffold10065	35.59	59	31	1	135	186	300809	300633	0.68	36.2
Cnox-5	scaffold1883	30.00	70	45	1	142	207	290517	290726	0.75	35.8
Cnox-5	scaffold10409	37.50	40	25	0	147	186	78576	78695	1.3	35.0
Cnox-5	scaffold8573	21.88	96	72	2	112	207	73236	73514	1.7	34.7
Cnox-5	scaffold10135	27.27	88	56	2	146	225	449703	449440	1.8	34.7
Cnox-5	scaffold10797	30.43	69	40	2	43	103	433019	433225	2.9	33.9
Cnox-5	scaffold5229	39.02	41	25	0	144	184	495019	494897	3.0	33.9
Cnox-5	scaffold9371	40.00	45	27	0	142	186	138940	138806	3.6	33.5
Cnox-5	scaffold4403	31.37	51	35	0	144	194	199801	199953	5.0	33.1
Cnox-5	scaffold2667	36.59	41	26	0	144	184	85442	85320	5.4	33.1
Cnox-5	scaffold716089	28.05	82	50	1	116	197	34003	33785	6.1	32.7
Cnox-5	scaffold10807	30.16	63	36	2	184	240	347323	347505	7.9	32.3
Cnox-5	scaffold8123	44.44	45	22	3	213	256	578665	578537	9.9	32.3
# BLAST processed 4 queries
